invoice_code,invoice_number,invoice_date,customer_name,customer_email,customer_address,customer_city,customer_state,customer_postal_code,customer_country,payment_method,payment_due_date,subtotal,tax_rate,tax_amount,discount_rate,discount_amount,total,notes,status,created_by,created_at,updated_by,updated_at,due_date,paid_date,currency,exchange_rate,payment_reference,shipping_address,shipping_city,shipping_state,shipping_postal_code,shipping_country
j8*,3241,10/24/2022,Sidoney Vasechkin,ycathrall0@wunderground.com,139 Old Gate Park,Pacho,,254008,Colombia,credit card,12/17/2022,2512.86,0.03,75.3858,0.43,1080.5298,1507.716,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",sent,Daren Ebbin,10/20/2022,Yetty Cathrall,10/30/2022,12/9/2022,11/23/2022,COP,9.7781,reference number,49702 Pond Drive,Karagay,,617210,Russia
xP*,7947,4/30/2022,Tore Ledwith,lhellens1@blogspot.com,76491 Acker Plaza,Ilandža,,,Serbia,PayPal,4/7/2022,3691.5,0.01,36.915,0.15,553.725,3174.69,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",paid,Jania Oldale,1/15/2022,Lane Hellens,3/9/2022,11/10/2022,6/21/2022,RSD,1.1722,reference number,65 Dennis Junction,Mealhada,01,3050-300,Portugal
fV*,3976,7/20/2022,Reggy Godlonton,lyantsev2@timesonline.co.uk,7 Stoughton Point,Cluses,B9,74311 CEDEX,France,PayPal,1/4/2022,1866.28,0.04,74.6512,0.19,354.5932,1586.338,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",overdue,Filmer Pollicatt,5/31/2022,Lorrin Yantsev,6/1/2022,3/22/2022,11/18/2022,EUR,8.8299,payment ID,8985 Washington Pass,Kota Kinabalu,SBH,88807,Malaysia
rC*,5572,12/24/2022,Ermin Rowswell,lberndtssen3@ow.ly,00 Warrior Street,Neepawa,MB,H3Z,Canada,PayPal,11/5/2022,6534.58,0.12,784.1496,0.45,2940.561,4378.1686,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",draft,Kakalina O'Doogan,10/13/2022,Lewes Berndtssen,3/25/2022,10/15/2022,9/4/2022,CAD,7.1229,reference number,9 Crownhardt Crossing,Victoria,,3153,Argentina
E_*,3804,9/6/2022,Juliet Applegarth,lchadbourn4@cornell.edu,92 Debs Drive,Nusajaya,JHR,79632,Malaysia,debit card,10/22/2022,5881.53,0.17,999.8601,0.38,2234.9814,4646.4087,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",paid,Annabelle Reis,7/29/2022,Luigi Chadbourn,10/13/2022,9/16/2022,4/4/2022,MYR,1.7339,payment ID,83282 Granby Way,Ribeirão Preto,,14000-000,Brazil
cJ*,7167,6/3/2022,Bambie Coppeard,epodbury5@freewebs.com,4 Calypso Alley,Santo Domingo,,4508,Philippines,credit card,5/29/2022,9924.96,0.03,297.7488,0.48,4763.9808,5458.728,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",draft,Jonis Drew-Clifton,6/16/2022,Ephraim Podbury,11/28/2022,5/24/2022,10/31/2022,PHP,5.3298,transaction ID,39393 David Center,Antipino,,625516,Russia
A_*,5760,1/19/2022,Eldin Ovise,fspracklin6@slideshare.net,00982 Norway Maple Place,Genyem,,,Indonesia,PayPal,6/14/2022,9289.43,0.09,836.0487,0.23,2136.5689,7988.9098,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,overdue,Vinita Chadwell,7/17/2022,Forest Spracklin,1/7/2022,9/9/2022,6/13/2022,IDR,5.5213,reference number,9609 Northfield Hill,Florida,,,Uruguay
Wo*,8424,2/21/2022,Leyla Colchett,ceteen7@hhs.gov,9332 Washington Trail,Palma De Mallorca,IB,07010,Spain,credit card,9/6/2022,2517.5,0.16,402.8,0.15,377.625,2542.675,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",sent,Cal Wagerfield,3/14/2022,Clifford Eteen,4/10/2022,5/31/2022,1/28/2022,EUR,5.4628,reference number,4670 Barby Parkway,Binonga,,6116,Philippines
OD*,5261,12/7/2022,Daisey Hollingdale,msharman8@seesaa.net,396 Raven Hill,Bader,,,Indonesia,PayPal,4/4/2022,3908.85,0.18,703.593,0.24,938.124,3674.319,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",draft,Katherine Magauran,2/8/2022,Marys Sharman,7/18/2022,5/11/2022,3/1/2022,IDR,6.3467,reference number,41492 Towne Center,Mossendjo,,,Republic of the Congo
E_*,4728,5/23/2022,Mirilla Lean,nomoylan9@alibaba.com,18614 Colorado Way,5 de Mayo,VER,93350,Mexico,credit card,6/13/2022,5235.47,0.01,52.3547,0.37,1937.1239,3350.7008,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",draft,Simeon Marrow,12/19/2022,Neddie O'Moylan,3/16/2022,1/20/2022,6/19/2022,MXN,9.4268,transaction ID,09824 John Wall Drive,Paipa,,150449,Colombia
d3*,7694,8/26/2022,Moore Mundie,klivensa@hibu.com,36992 Chinook Road,Borovskiy,,625504,Russia,debit card,1/28/2022,139.93,0.06,8.3958,0.21,29.3853,118.9405,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",paid,Barnard Muffin,3/26/2022,Karola Livens,1/20/2022,1/25/2022,3/21/2022,RUB,0.9972,payment ID,968 Pierstorff Street,Washington,DC,56944,United States
j_*,2353,1/2/2022,Ruben Blunt,sgallob@reverbnation.com,0 Hovde Center,Bernardo de Irigoyen,,2248,Argentina,debit card,7/22/2022,5509.16,0.16,881.4656,0.5,2754.58,3636.0456,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,draft,Bonny Chell,10/13/2022,Stanley Gallo,1/10/2022,11/2/2022,12/16/2022,ARS,7.1508,transaction ID,91 Daystar Hill,Araçatuba,,16000-000,Brazil
L3*,5715,11/8/2022,Katina Craydon,cpackerc@sfgate.com,29082 Superior Point,Sumbergebang,,,Indonesia,credit card,9/6/2022,979.18,0.04,39.1672,0.14,137.0852,881.262,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",sent,Maud Crisford,8/11/2022,Coleen Packer,11/15/2022,8/23/2022,5/1/2022,IDR,6.0221,transaction ID,20484 Beilfuss Park,Hässleholm,M,281 43,Sweden
P2*,1029,6/20/2022,Arv Dugue,cbiswelld@google.cn,3411 Clove Trail,Kousséri,,,Cameroon,PayPal,12/17/2022,4946.8,0.12,593.616,0.07,346.276,5194.14,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,draft,Giles Simmance,9/5/2022,Celle Biswell,11/5/2022,1/9/2022,10/27/2022,XAF,7.1576,payment ID,41 Dryden Pass,Beaumont,TX,77705,United States
Et*,4397,1/25/2022,Hubert Josland,tpoachere@purevolume.com,00752 Lunder Terrace,Clifden,,H71,Ireland,PayPal,1/24/2022,2140.23,0.11,235.4253,0.34,727.6782,1647.9771,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",paid,Anestassia Vane,3/5/2022,Tomas Poacher,4/14/2022,12/2/2022,9/4/2022,EUR,5.4179,transaction ID,26 Spaight Park,Qarchī Gak,,,Afghanistan
